phone_id,number,owner_id
PH-00736,+91-9727926478,P-00583
PH-00737,+91-9078468894,P-00583
PH-00738,+91-7119538655,P-00584
PH-00739,+91-8376881576,P-00585
PH-00740,+91-8969159487,P-00586
PH-00741,+91-8140637494,P-00587
PH-00742,+91-9227085607,P-00588
PH-00743,+91-8213257683,P-00589
PH-00744,+91-7989450234,P-00590
PH-00745,+91-9291575422,P-00591
PH-00746,+91-8356763790,P-00592
PH-00747,+91-8152556165,P-00592
PH-00748,+91-8714354017,P-00593
PH-00749,+91-7371533044,P-00593
PH-00750,+91-8403758905,P-00594
PH-00751,+91-7579682450,P-00594
PH-00752,+91-8778567131,P-00595
PH-00753,+91-7933996455,P-00596
PH-00754,+91-9256299165,P-00596
PH-00755,+91-9077847125,P-00597
PH-00756,+91-9300691313,P-00597
PH-00757,+91-7287123606,P-00598
PH-00758,+91-9128612153,P-00599
PH-00759,+91-7339775064,P-00600
PH-00760,+91-9457491766,P-00600
